"Client.Type","Account","ACV_2022","ACV_2023","ACV_2024","First_Record_Type_Name","First_Opportunity_ID"
"End Client","0015Y00004X4MhI",0,4500,0,"Cost Seg","0065Y00001gY37G"
"End Client","0015Y00004X4g5L",0,105328.54,0,"ERC","0065Y00001gOjDP"
"End Client","0015Y00004X4l1O",0,13000,0,"Cost Seg","0065Y00001gOjRR"
"End Client","0015Y00004X4mCL",0,5525,0,"Cost Seg","0065Y00001gOjUp"
"End Client","0015Y00004X5OGD",0,2957.35,0,"LIFO - Auto","0065Y00001gObMJ"
"End Client","0015Y00004X5XIX",0,17011.05,0,"ERC","0065Y00001gOk85"
"End Client","0015Y00004X5bWL",0,2250,0,"Cost Seg","0065Y00001gOkEf"
"End Client","0015Y00004Z1Dva",0,7500,0,"Cost Seg","0065Y00001gOn4b"
"End Client","0015Y00004Z1J04",0,8675,0,"Cost Seg","0065Y00001gOnJH"
"End Client","0015Y00004Z1boK",0,27182.27,0,"ERC","0065Y00001gOnc6"
"End Client","0015Y00004Z1cXO",0,5530,0,"Cost Seg","0065Y00001iZDso"
"End Client","0015Y00004Z1dUS",0,6000,0,"Cost Seg","0065Y00001gOLit"
"End Client","0015Y00004Z1ln2",0,4675,0,"Cost Seg","0065Y00001gOXC1"
"End Client","0015Y00004Z1nmx",0,8500,0,"Cost Seg","0065Y00001gOcVq"
"End Client","0015Y00004Z1p08",0,7150,0,"Energy","0065Y00001gYKOm"
"End Client","0015Y00004Z1qP7",0,8360,0,"Cost Seg","0065Y00001gY2gw"
"End Client","0015Y00004Z1tQs",0,7500,0,"Cost Seg","0065Y00001gOoKK"
"End Client","0015Y00004Z29jT",0,7650,0,"Cost Seg","0065Y00001gOomq"
"End Client","0015Y00004Z2AC5",0,80000,0,"R&D","0065Y00001gOoln"
"End Client","0015Y00004Z2AMP",0,8000,0,"Cost Seg","0065Y00001gObNv"
"End Client","0015Y00004Z2Hyy",0,13500,0,"R&D","0065Y00001gOp8F"
"End Client","0015Y00004Z2eih",0,8800,0,"Cost Seg","0065Y00001fqqgD"
"End Client","0015Y00004Z2jHK",0,37000,0,"R&D","0065Y00001gO7oD"
"End Client","0015Y00004Z2ruu",0,8900,0,"Cost Seg","0065Y00001gOq6M"
"End Client","0015Y00004Z3wfJ",0,6200,0,"Cost Seg","0065Y00001gOqcl"
"End Client","0015Y00004Z49cV",0,8750,0,"Cost Seg","0065Y00001gOqsb"
"End Client","0015Y00004Z49dc",0,5000,0,"Cost Seg","0065Y00001gOqrx"
"End Client","0015Y00004Z4H8p",0,2700,0,"Energy","0065Y00001gOrju"
"End Client","0015Y00004Z4Hit",0,50000,0,"Cost Seg","0065Y00001gOrlW"
"End Client","0015Y00004Z4JGz",0,0,13030,"Cost Seg","0065Y00001iYrXL"
"End Client","0015Y00004Z4M4u",0,6000,0,"Cost Seg","0065Y00001gOs3G"
"End Client","0015Y00004bE2zX",0,7000,0,"Cost Seg","0065Y00001gY1k4"
"End Client","0015Y00004bE3pY",0,6666.8,0,"GOAT.tax","0065Y00001iYkhl"
"End Client","0015Y00004bE4hc",0,12000,0,"Cost Seg","0065Y00001gOS2v"
"End Client","0015Y00004bE5hi",0,8750,0,"Cost Seg","0065Y00001gY22D"
"End Client","0015Y00004bEBLH",0,8000,0,"Cost Seg","0065Y00001gOUnj"
"End Client","0015Y00004bED4U",0,8000,0,"Cost Seg","0065Y00001gY2dx"
"End Client","0015Y00004bEDZE",0,10000,0,"Cost Seg","0065Y00001gZJ1q"
"End Client","0015Y00004bEEaW",0,6000,0,"Cost Seg","0065Y00001gY2kK"
